timestamp,gpu_util,gpu_mem_ctrl_util,gpu_mem_used_MB,gpu_mem_util_pct,pcie_tx_MBps,pcie_rx_MBps,cpu_total_util,cpu_proc_util
1767162156.1329625,42,10,21558.5625,87.7648693209575,427.63671875,4745.8984375,3.2,0.0
1767162156.275195,42,10,21558.5625,87.7648693209575,328.3203125,4939.501953125,3.3,0.0
1767162156.4172702,39,9,21558.5625,87.7648693209575,426.5625,3698.095703125,3.2,0.0
1767162156.5594437,39,9,21558.5625,87.7648693209575,427.63671875,2835.44921875,3.4,7.0
1767162156.7016392,39,9,21558.5625,87.7648693209575,472.607421875,448.828125,3.0,0.0
1767162156.8440523,39,9,21558.5625,87.7648693209575,429.052734375,4930.2734375,3.3,0.0
1767162156.986273,39,9,21558.5625,87.7648693209575,324.8046875,4990.0390625,3.2,0.0
1767162157.1284626,39,9,21558.5625,87.7648693209575,352.1484375,4226.171875,3.3,0.0
1767162157.2708185,39,9,21558.5625,87.7648693209575,219.04296875,4925.9765625,4.3,7.0
1767162157.413044,37,8,21558.5625,87.7648693209575,428.369140625,1157.470703125,3.9,0.0
1767162157.555404,37,8,21558.5625,87.7648693209575,392.578125,4930.078125,4.0,0.0
1767162157.697737,37,8,21558.5625,87.7648693209575,348.046875,4348.33984375,3.4,0.0
1767162157.8400443,37,8,21558.5625,87.7648693209575,426.025390625,2477.978515625,3.2,0.0
1767162157.9823518,37,8,21558.5625,87.7648693209575,351.513671875,4266.015625,3.3,7.0
1767162158.1247191,37,8,21558.5625,87.7648693209575,323.193359375,3701.85546875,3.5,0.0
1767162158.2665582,37,8,21558.5625,87.7648693209575,322.314453125,4933.88671875,3.2,0.0
1767162158.408774,33,7,21558.5625,87.7648693209575,430.95703125,3717.041015625,3.2,0.0
1767162158.5510845,33,7,21558.5625,87.7648693209575,428.02734375,3704.296875,3.2,0.0
1767162158.69327,33,7,21558.5625,87.7648693209575,430.46875,3708.251953125,3.2,0.0
1767162158.8355494,33,7,21558.5625,87.7648693209575,389.306640625,1258.203125,3.5,7.0
1767162158.9777932,33,7,21558.5625,87.7648693209575,383.837890625,3880.615234375,3.6,0.0
1767162159.1200082,33,7,21558.5625,87.7648693209575,408.349609375,3718.5546875,3.5,0.0
1767162159.2624524,33,7,21558.5625,87.7648693209575,321.630859375,3700.048828125,4.0,0.0
1767162159.4046292,27,7,21558.5625,87.7648693209575,298.046875,4924.755859375,3.6,0.0
1767162159.5466194,27,7,21558.5625,87.7648693209575,391.11328125,3704.8828125,3.2,7.0
1767162159.6888602,27,7,21558.5625,87.7648693209575,321.58203125,3695.01953125,3.7,0.0
1767162159.8310292,27,7,21558.5625,87.7648693209575,356.982421875,4169.287109375,3.3,0.0
1767162159.973345,27,7,21558.5625,87.7648693209575,158.3984375,2474.072265625,3.2,0.0
1767162160.1155665,27,7,21558.5625,87.7648693209575,386.23046875,4929.150390625,3.3,0.0
1767162160.2579532,27,7,21558.5625,87.7648693209575,286.572265625,6151.806640625,3.1,7.0
1767162160.4001951,27,7,21558.5625,87.7648693209575,319.677734375,3701.708984375,3.3,0.0
1767162160.5423784,41,9,21558.5625,87.7648693209575,323.193359375,4940.869140625,3.2,0.0
